code,description,chapter,phecode,rank
652.53,"High head at term, antepartum condition or complication",,,22
652.6,Multiple gestation with malpresentation of one fetus or more,,,
652.60,"Multiple gestation with malpresentation of one fetus or more, unspecified as to episode of care or not applicable",,,3
652.61,"Multiple gestation with malpresentation of one fetus or more, delivered, with or without mention of antepartum condition",,,2115
652.63,"Multiple gestation with malpresentation of one fetus or more, antepartum condtion or complication",,,745
652.7,Prolapsed arm of fetus,,,
652.70,"Prolapsed arm of fetus, unspecified as to episode of care or not applicable",,,1
652.71,"Prolapsed arm of fetus, delivered, with or without mention of antepartum condition",,,77
652.73,"Prolapsed arm of fetus, antepartum condition or complication",,,3
652.8,Other specified malposition or malpresentation of fetus,,,
652.80,"Other specified malposition or malpresentation, unspecified as to episode of care or not applicable",,,20
652.81,"Other specified malposition or malpresentation, delivered, with or without mention of antepartum condition",,,4402
652.83,"Other specified malposition or malpresentation, antepartum condition or complication",,,211
652.9,Unspecified malposition or malpresentation of fetus,,,9
652.90,"Unspecified malposition or malpresentation, unspecified as to episode of care or not applicable",,,7
652.91,"Unspecified malposition or malpresentation, delivered, with or without mention of antepartum condition",,,556
652.93,"Unspecified malposition or malpresentation, antepartum condition or complication",,,56
653,"Disproportion in pregnancy, labor, and delivery",,,6
653.0,"Major abnormality of bony pelvis, not further specified, in pregnancy, labor, and delivery",,,2
653.00,"Major abnormality of bony pelvis, not further specified, unspecified as to episode of care or not applicable",,,25
653.01,"Major abnormality of bony pelvis, not further specified, delivered, with or without mention of antepartum condition",,,46
653.03,"Major abnormality of bony pelvis, not further specified, antepartum condition or complication",,,
653.1,"Generally contracted pelvis in pregnancy, labor, and delivery",,,
653.10,"Generally contracted pelvis, unspecified as to episode of care or not applicable",,,4
653.11,"Generally contracted pelvis, delivered, with or without mention of antepartum condition",,,137
653.13,"Generally contracted pelvis, antepartum condition or complication",,,5
653.2,"Inlet contraction of pelvis in pregnancy, labor, and delivery",,,
653.20,"Inlet contraction of pelvis, unspecified as to episode of care or not applicable",,,
653.21,"Inlet contraction of pelvis, delivered, with or without mention of antepartum condition",,,615
653.23,"Inlet contraction of pelvis, antepartum condition or complication",,,29
653.3,"Outlet contraction of pelvis in pregnancy, labor, and delivery",,,1
653.30,"Outlet contraction of pelvis, unspecified as to episode of care or not applicable",,,2
653.31,"Outlet contraction of pelvis, delivered, with or without mention of antepartum condition",,,37
653.33,"Outlet contraction of pelvis, antepartum condition or complication",,,4
653.4,Fetopelvic disproportion,,,
653.40,"Fetopelvic disproportion, unspecified as to episode of care or not applicable",,,7
653.41,"Fetopelvic disproportion, delivered, with or without mention of antepartum condition",,,2857
653.43,"Fetopelvic disproportion, antepartum condition or complication",,,316
653.5,Unusually large fetus causing disproportion,,,4
653.50,"Unusually large fetus causing disproportion, unspecified as to episode of care or not applicable",,,25
653.51,"Unusually large fetus causing disproportion, delivered, with or without mention of antepartum condition",,,1241
653.53,"Unusually large fetus causing disproportion, antepartum condition or complication",,,69
653.6,Hydrocephalic fetus causing disproportion,,,
653.60,"Hydrocephalic fetus causing disproportion, unspecified as to episode of care or not applicable",,,10
653.61,"Hydrocephalic fetus causing disproportion, delivered, with or without mention of antepartum condition",,,38
653.63,"Hydrocephalic fetus causing disproportion, antepartum condition or complication",,,7
653.7,Other fetal abnormality causing disproportion,,,9
653.70,"Other fetal abnormality causing disproportion, unspecified as to episode of care or not applicable",,,36
653.71,"Other fetal abnormality causing disproportion, delivered, with or without mention of antepartum condition",,,178
653.73,"Other fetal abnormality causing disproportion, antepartum condition or complication",,,295
653.8,"Disproportion of other origin in pregnancy, labor, and delivery",,,2
653.80,"Disproportion of other origin, unspecified as to episode of care or not applicable",,,1
653.81,"Disproportion of other origin, delivered, with or without mention of antepartum condition",,,9
653.83,"Disproportion of other origin, antepartum condition or complication",,,9
653.9,"Unspecified disproportion in pregnancy, labor, and delivery",,,3
653.90,"Unspecified disproportion, unspecified as to episode of care or not applicable",,,2
653.91,"Unspecified disproportion, delivered, with or without mention of antepartum condition",,,5
653.93,"Unspecified disproportion, antepartum condition or complication",,,4
654,"Abnormality of organs and soft tissues of pelvis complicating pregnancy, childbirth, or the puerperium",O,654,973
654.0,"Congenital abnormalities of uterus complicating pregnancy, childbirth, or the puerperium",O,619.2,6
654.00,"Congenital abnormalities of uterus, unspecified as to episode of care or not applicable",O,619.2,115
654.01,"Congenital abnormalities of uterus, delivered, with or without mention of antepartum condition",O,619.2,945
654.02,"Congenital abnormalities of uterus, delivered, with mention of postpartum complication",O,619.2,5
654.03,"Congenital abnormalities of uterus, antepartum condition or complication",O,619.2,1023
654.04,"Congenital abnormalities of uterus, postpartum condition or complication",O,619.2,11
654.1,"Tumors of body of uterus complicating pregnancy, childbirth, or the puerperium",O,654.1,7
654.10,"Tumors of body of uterus, unspecified as to episode of care or not applicable",O,654.1,55
654.11,"Tumors of body of uterus, delivered, with or without mention of antepartum condition",O,654.1,2548
654.12,"Tumors of body of uterus, delivered, with mention of postpartum complication",O,654.1,17
654.13,"Tumors of body of uterus, antepartum condition or complication",O,654.1,4772
654.14,"Tumors of body of uterus, postpartum condition or complication",O,654.1,20
654.2,Previous cesarean section complicating pregnancy or childbirth,O,654.1,6
654.20,"Previous cesarean delivery, unspecified as to episode of care or not applicable",O,654.1,272
654.21,"Previous cesarean delivery, delivered, with or without mention of antepartum condition",O,654.1,45167
654.23,"Previous cesarean delivery, antepartum condition or complication",O,654.1,19820
654.3,Retroverted and incarcerated gravid uterus,O,619.2,
654.30,"Retroverted and incarcerated gravid uterus, unspecified as to episode of care or not applicable",O,619.2,7
654.31,"Retroverted and incarcerated gravid uterus, delivered, with mention of antepartum condition",O,619.2,46
654.32,"Retroverted and incarcerated gravid uterus, delivered, with mention of postpartum complication",O,619.2,3
654.33,"Retroverted and incarcerated gravid uterus, antepartum condition or complication",O,619.2,52
654.34,"Retroverted and incarcerated gravid uterus, postpartum condition or complication",O,619.2,
654.4,Other abnormalities in shape or position of gravid uterus and of neighboring structures,O,619.2,2
654.40,"Other abnormalities in shape or position of gravid uterus and of neighboring structures, unspecified as to episode of care or not applicable",O,619.2,33
654.41,"Other abnormalities in shape or position of gravid uterus and of neighboring structures, delivered, with or without mention of antepartum condition",O,619.2,1565
654.42,"Other abnormalities in shape or position of gravid uterus and of neighboring structures, delivered, with mention of postpartum complication",O,619.2,22
654.43,"Other abnormalities in shape or position of gravid uterus and of neighboring structures, antepartum condition or complication",O,619.2,8958
654.44,"Other abnormalities in shape or position of gravid uterus and of neighboring structures, postpartum condition or complication",O,619.2,26
654.5,"Cervical incompetence complicating pregnancy, childbirth, or the puerperium",O,636.8,7
654.50,"Cervical incompetence, unspecified as to episode of care or not applicable",O,636.8,157
654.51,"Cervical incompetence, delivered, with or without mention of antepartum condition",O,636.8,1576
654.52,"Cervical incompetence, delivered, with mention of postpartum complication",O,636.8,1
654.53,"Cervical incompetence, antepartum condition or complication",O,636.8,6364
654.54,"Cervical incompetence, postpartum condition or complication",O,636.8,10
654.6,"Other congenital or acquired abnormality of cervix complicating pregnancy, childbirth, or the puerperium",O,619.3,1
654.60,"Other congenital or acquired abnormality of cervix, unspecified as to episode of care or not applicable",O,619.3,22
654.61,"Other congenital or acquired abnormality of cervix, delivered, with or without mention of antepartum condition",O,619.3,300
654.62,"Other congenital or acquired abnormality of cervix, delivered, with mention of postpartum complication",O,619.3,6
654.63,"Other congenital or acquired abnormality of cervix, antepartum condition or complication",O,619.3,829
654.64,"Other congenital or acquired abnormality of cervix, postpartum condition or complication",O,619.3,4
654.7,"Congenital or acquired abnormality of vagina complicating pregnancy, childbirth, or the puerperium",O,619.3,
654.70,"Congenital or acquired abnormality of vagina, unspecified as to episode of care or not applicable",O,619.4,4
654.71,"Congenital or acquired abnormality of vagina, delivered, with or without mention of antepartum condition",O,619.4,75
654.72,"Congenital or acquired abnormality of vagina, delivered, with mention of postpartum complication",O,619.4,2
654.73,"Congenital or acquired abnormality of vagina, antepartum condition or complication",O,619.4,11
654.74,"Congenital or acquired abnormality of vagina, postpartum condition or complication",O,619.4,6
654.8,"Congenital or acquired abnormality of vulva complicating pregnancy, childbirth, or the puerperium",O,619.5,
654.80,"Congenital or acquired abnormality of vulva, unspecified as to episode of care or not applicable",O,619.5,7
654.81,"Congenital or acquired abnormality of vulva, delivered, with or without mention of antepartum condition",O,619.5,95
654.82,"Congenital or acquired abnormality of vulva, delivered, with mention of postpartum complication",O,619.5,2
654.83,"Congenital or acquired abnormality of vulva, antepartum condition or complication",O,619.5,13
654.84,"Congenital or acquired abnormality of vulva, postpartum condition or complication",O,619.5,11
654.9,"Other and unspecified abnormality of organs and soft tissues of pelvis complicating pregnancy, childbirth, and the puerperium",O,654.1,2
654.90,"Other and unspecified abnormality of organs and soft tissues of pelvis, unspecified as to episode of care or not applicable",O,654.1,18
654.91,"Other and unspecified abnormality of organs and soft tissues of pelvis, delivered, with or without mention of antepartum condition",O,654.1,771
654.92,"Other and unspecified abnormality of organs and soft tissues of pelvis, delivered, with mention of postpartum complication",O,654.1,10
654.93,"Other and unspecified abnormality of organs and soft tissues of pelvis, antepartum condition or complication",O,654.1,293
654.94,"Other and unspecified abnormality of organs and soft tissues of pelvis, postpartum condition or complication",O,654.1,1
655,Known or suspected fetal abnormality affecting management of mother,O,655,252
655.0,Central nervous system malformation in fetus affecting management of mother,O,655,29
655.00,"Central nervous system malformation in fetus, unspecified as to episode of care or not applicable",O,655,192
655.01,"Central nervous system malformation in fetus, delivered, with or without mention of antepartum condition",O,655,2895
655.03,"Central nervous system malformation in fetus, antepartum condition or complication",O,655,9395
655.1,Chromosomal abnormality in fetus affecting management of mother,O,655,
655.10,"Chromosomal abnormality in fetus, affecting management of mother, unspecified as to episode of care or not applicable",O,655,144
655.11,"Chromosomal abnormality in fetus, affecting management of mother, delivered, with or without mention of antepartum condition",O,655,614
655.13,"Chromosomal abnormality in fetus, affecting management of mother, antepartum condition or complication",O,655,2599
655.2,"Hereditary disease in family possibly affecting fetus, affecting management of mother",O,655,3
655.20,"Hereditary disease in family possibly affecting fetus, affecting management of mother, unspecified as to episode of care or not applicable",O,655,14
655.21,"Hereditary disease in family possibly affecting fetus, affecting management of mother, delivered, with or without mention of antepartum condition",O,655,44
655.23,"Hereditary disease in family possibly affecting fetus, affecting management of mother, antepartum condition or complication",O,655,371
655.3,"Suspected damage to fetus from viral disease in the mother, affecting management of mother",O,655,17
655.30,"Suspected damage to fetus from viral disease in the mother, affecting management of mother, unspecified as to episode of care or not applicable",O,655,13
655.31,"Suspected damage to fetus from viral disease in the mother, affecting management of mother, delivered, with or without mention of antepartum condition",O,655,27
655.33,"Suspected damage to fetus from viral disease in the mother, affecting management of mother, antepartum condition or complication",O,655,139
655.4,"Suspected damage to fetus from other disease in the mother, affecting management of mother",O,655,6
655.40,"Suspected damage to fetus from other disease in the mother, affecting management of mother, unspecified as to episode of care or not applicable",O,655,2
655.41,"Suspected damage to fetus from other disease in the mother, affecting management of mother, delivered, with or without mention of antepartum condition",O,655,6
655.43,"Suspected damage to fetus from other disease in the mother, affecting management of mother, antepartum condition or complication",O,655,76
655.5,"Suspected damage to fetus from drugs, affecting management of mother",O,655,6
655.50,"Suspected damage to fetus from drugs, affecting management of mother, unspecified as to episode of care or not applicable",O,655,4
655.51,"Suspected damage to fetus from drugs, affecting management of mother, delivered, with or without mention of antepartum condition",O,655,53
655.53,"Suspected damage to fetus from drugs, affecting management of mother, antepartum condition or complication",O,655,533
655.6,"Suspected damage to fetus from radiation, affecting management of mother",O,990,
655.60,"Suspected damage to fetus from radiation, affecting management of mother, unspecified as to episode of care or not applicable",O,990,
655.61,"Suspected damage to fetus from radiation, affecting management of mother, delivered,",O,990,1
655.63,"Suspected damage to fetus from radiation, affecting management of mother, antepartum condition or complication",O,990,30
655.7,"Decreased fetal movements, affecting management of mother",O,655,2
655.70,"Decreased fetal movements, affecting management of mother, unspecified as to episode of care",O,655,1403
655.71,"Decreased fetal movements, affecting management of mother, delivered, with or without mention of antepartum condition",O,655,1635
655.73,"Decreased fetal movements, affecting management of mother, antepartum condition or complication",O,655,11588
655.8,"Other known or suspected fetal abnormality, not elsewhere classified, affecting management of mother",O,655,13
655.80,"Other known or suspected fetal abnormality, not elsewhere classified, affecting management of mother, unspecified as to episode of care or not applicable",O,655,490
655.81,"Other known or suspected fetal abnormality, not elsewhere classified, affecting management of mother, delivered, with or without mention of antepartum condition",O,655,15664
655.83,"Other known or suspected fetal abnormality, not elsewhere classified, affecting management of mother, antepartum condition or complication",O,655,82899
655.9,"Unspecified, known or suspected fetal abnormality affecting management of mother",O,655,14
655.90,"Unspecified suspected fetal abnormality, affecting management of mother, unspecified as to episode of care or not applicable",O,655,3075
655.91,"Unspecified suspected fetal abnormality, affecting management of mother, delivered, with or without mention of antepartum condition",O,655,602
655.93,"Unspecified suspected fetal abnormality, affecting management of mother, antepartum condition or complication",O,655,2137
656,Other known or suspected fetal and placental problems affecting management of mother,O,655,2227
656.0,Fetal-maternal hemorrhage affecting management of mother,O,635,6
656.00,"Fetal-maternal hemorrhage, unspecified as to episode of care or not applicable",O,635,18
656.01,"Fetal-maternal hemorrhage, delivered, with or without mention of antepartum condition",O,635,12
656.03,"Fetal-maternal hemorrhage, antepartum condition or complication",O,635,28
656.1,Rhesus isoimmunization affecting management of mother,O,654.2,21
656.10,"Rhesus isoimmunization, unspecified as to episode of care or not applicable",O,654.2,68
656.11,"Rhesus isoimmunization, delivered, with or without mention of antepartum condition",O,654.2,2687
656.13,"Rhesus isoimmunization, antepartum condition or complication",O,654.2,3226
656.2,Isoimmunization from other and unspecified blood-group incompatibility affecting management of mother,O,654.2,17
656.20,"Isoimmunization from other and unspecified blood-group incompatibility, unspecified as to episode of care or not applicable",O,654.2,30
656.21,"Isoimmunization from other and unspecified blood-group incompatibility, delivered, with or without mention of antepartum condition",O,654.2,331
656.23,"Isoimmunization from other and unspecified blood-group incompatibility, antepartum condition or complication",O,654.2,884
656.3,Fetal distress affecting management of mother,,,17
656.30,"Fetal distress, affecting management of mother, unspecified as to episode of care or not applicable",,,293
656.31,"Fetal distress, affecting management of mother, delivered, with or without mention of antepartum condition",,,7380
656.33,"Fetal distress, affecting management of mother, antepartum condition or complication",,,381
656.4,Intrauterine death affecting management of mother,O,634,44
656.40,"Intrauterine death, affecting management of mother, unspecified as to episode of care or not applicable",O,634,176
656.41,"Intrauterine death, affecting management of mother, delivered, with or without mention of antepartum condition",O,634,2706
656.43,"Intrauterine death, affecting management of mother, antepartum condition or complication",O,634,642
656.5,Poor fetal growth affecting management of mother,O,655,
656.50,"Poor fetal growth, affecting management of mother, unspecified as to episode of care or not applicable",O,655,405
656.51,"Poor fetal growth, affecting management of mother, delivered, with or without mention of antepartum condition",O,655,10034
656.53,"Poor fetal growth, affecting management of mother, antepartum condition or complication",O,655,23633
656.6,Excessive fetal growth affecting management of mother,O,655,10
656.60,"Excessive fetal growth, affecting management of mother, unspecified as to episode of care or not applicable",O,655,83
656.61,"Excessive fetal growth, affecting management of mother, delivered, with or without mention of antepartum condition",O,655,2147
656.63,"Excessive fetal growth, affecting management of mother, antepartum condition or complication",O,655,6105
656.7,Other placental conditions affecting management of mother,O,655,1
656.70,"Other placental conditions, affecting management of mother, unspecified as to episode of care or not applicable",O,655,106
656.71,"Other placental conditions, affecting management of mother, delivered, with or without mention of antepartum condition",O,655,8926
656.73,"Other placental conditions, affecting management of mother, antepartum condition or complication",O,655,1119
656.8,Other specified fetal and placental problems affecting management of mother,O,655,1
656.80,"Other specified fetal and placental problems, affecting management of mother, unspecified as to episode of care or not applicable",O,655,76
656.81,"Other specified fetal and placental problems, affecting management of mother, delivered, with or without mention of antepartum condition",O,655,22912
656.83,"Other specified fetal and placental problems, affecting management of mother, antepartum condition or complication",O,655,514
656.9,Unspecified fetal and placental problem affecting management of mother,O,655,1
656.90,"Unspecified fetal and placental problem, affecting management of mother, unspecified as to episode of care or not applicable",O,655,11
656.91,"Unspecified fetal and placental problem, affecting management of mother, delivered, with or without mention of antepartum condition",O,655,40
656.93,"Unspecified fetal and placental problem, affecting management of mother, antepartum condition or complication",O,655,1562
657,Polyhydramnios,O,653,478
657.0,Polyhydramnios,O,653,
657.00,"Polyhydramnios, unspecified as to episode of care or not applicable",O,653,180
657.01,"Polyhydramnios, delivered, with or without mention of antepartum condition",O,653,2759
657.03,"Polyhydramnios, antepartum condition or complication",O,653,6311
658,Other problems associated with amniotic cavity and membranes,O,653,222
658.0,Oligohydramnios,O,653,9
658.00,"Oligohydramnios, unspecified as to episode of care or not applicable",O,653,682
658.01,"Oligohydramnios, delivered, with or without mention of antepartum condition",O,653,6939
658.03,"Oligohydramnios, antepartum condition or complication",O,653,10183
658.1,Premature rupture of membranes,O,653,3
658.10,"Premature rupture of membranes, unspecified as to episode of care or not applicable",O,653,651
658.11,"Premature rupture of membranes, delivered, with or without mention of antepartum condition",O,653,9281
658.13,"Premature rupture of membranes, antepartum condition or complication",O,653,2624
658.2,Delayed delivery after spontaneous or unspecified rupture of membranes,O,653,3
658.20,"Delayed delivery after spontaneous or unspecified rupture of membranes, unspecified as to episode of care or not applicable",O,653,106
658.21,"Delayed delivery after spontaneous or unspecified rupture of membranes, delivered, with or without mention of antepartum condition",O,653,8074
658.23,"Delayed delivery after spontaneous or unspecified rupture of membranes, antepartum condition or complication",O,653,8397
658.3,Delayed delivery after artificial rupture of membranes,O,653,6
658.30,"Delayed delivery after artificial rupture of membranes, unspecified as to episode of care or not applicable",O,653,
658.31,"Delayed delivery after artificial rupture of membranes, delivered, with or without mention of antepartum condition",O,653,13
658.33,"Delayed delivery after artificial rupture of membranes, antepartum condition or complication",O,653,3
658.4,Infection of amniotic cavity,O,653,1
658.40,"Infection of amniotic cavity, unspecified as to episode of care or not applicable",O,653,113
658.41,"Infection of amniotic cavity, delivered, with or without mention of antepartum condition",O,653,14361
658.43,"Infection of amniotic cavity, antepartum condition or complication",O,653,342
658.8,Other problems associated with amniotic cavity and membranes,O,653,
658.80,"Other problems associated with amniotic cavity and membranes, unspecified as to episode of care or not applicable",O,653,34
658.81,"Other problems associated with amniotic cavity and membranes, delivered, with or without mention of antepartum condition",O,653,108
658.83,"Other problems associated with amniotic cavity and membranes, antepartum",O,653,571
658.9,Unspecified problem associated with amniotic cavity and membranes,O,653,4
658.90,"Unspecified problem associated with amniotic cavity and membranes, unspecified as to episode of care or not applicable",O,653,12
658.91,"Unspecified problem associated with amniotic cavity and membranes, delivered, with or without mention of antepartum condition",O,653,12
658.93,"Unspecified problem associated with amniotic cavity and membranes, antepartum condition or complication",O,653,25
659,"Other indications for care or intervention related to labor and delivery, not elsewhere classified",O,655,36
659.0,Failed mechanical induction of labor,,,
659.00,"Failed mechanical induction of labor, unspecified as to episode of care or not applicable",,,3
659.01,"Failed mechanical induction of labor, delivered, with or without mention of antepartum condition",,,32
659.03,"Failed mechanical induction of labor, antepartum condition or complication",,,16
659.1,Failed medical or unspecified induction of labor,,,2
659.10,"Failed medical or unspecified induction of labor, unspecified as to episode of care or not applicable",,,4
659.11,"Failed medical or unspecified induction of labor, delivered, with or without mention of antepartum condition",,,2036
659.13,"Failed medical or unspecified induction of labor, antepartum condition or complication",,,223
659.2,"Maternal pyrexia during labor, unspecified",O,655,
659.20,"Maternal pyrexia during labor, unspecified, unspecified as to episode of care or not applicable",O,655,6
659.21,"Maternal pyrexia during labor, unspecified, delivered, with or without mention of antepartum condition",O,655,1763
659.23,"Maternal pyrexia during labor, unspecified, antepartum condition or complication",O,655,42
659.3,Generalized infection during labor,O,647,1
659.30,"Generalized infection during labor, unspecified as to episode of care or not applicable",O,647,3
659.31,"Generalized infection during labor, delivered, with or without mention of antepartum condition",O,647,110
659.33,"Generalized infection during labor, antepartum condition or complication",O,647,51
659.4,"Grand multiparity, with current pregnancy",O,654,
659.40,"Grand multiparity, unspecified as to episode of care or not applicable",O,654,19
659.41,"Grand multiparity, delivered, with or without mention of antepartum condition",O,654,385
659.43,"Grand multiparity, antepartum condition or complication",O,654,170
659.5,Elderly primigravida,O,654,2
659.50,"Elderly primigravida, unspecified as to episode of care or not applicable",O,654,47
659.51,"Elderly primigravida, delivered, with or without mention of antepartum condition",O,654,2151
659.53,"Elderly primigravida, antepartum condition or complication",O,654,4633
659.6,Elderly multigravida,O,654,1
659.60,"Elderly multigravida, unspecified as to episode of care or not applicable",O,654,227
659.61,"Elderly multigravida, delivered with or without mention of antepartum condition",O,654,10412
659.63,"Elderly multigravida, antepartum condition or complication",O,654,24486
659.7,Abnormality in fetal heart rate or rhythm,O,655.1,39
659.70,"Abnormality in fetal heart rate or rhythm, unspecified as to episode of care or not applicable",O,655.1,531
659.71,"Abnormality in fetal heart rate or rhythm, delivered, with or without mention of antepartum condition",O,655.1,52329
659.73,"Abnormality in fetal heart rate or rhythm, antepartum condition or complication",O,655.1,7165
659.8,Other specified indications for care or intervention related to labor and delivery,O,655,12
659.80,"Other specified indications for care or intervention related to labor and delivery, unspecified as to episode of care or not applicable",O,655,5
659.81,"Other specified indications for care or intervention related to labor and delivery, delivered, with or without mention of antepartum condition",O,655,1610
659.83,"Other specified indications for care or intervention related to labor and delivery, antepartum condition or complication",O,655,613
659.9,Unspecified indication for care or intervention related to labor and delivery,O,655,3
659.90,"Unspecified indication for care or intervention related to labor and delivery, unspecified as to episode of care or not applicable",O,655,4
659.91,"Unspecified indication for care or intervention related to labor and delivery, delivered, with or without mention of antepartum condition",O,655,9
659.93,"Unspecified indication for care or intervention related to labor and delivery, antepartum condition or complication",O,655,22
66,Operations on fallopian tubes,,,
66.0,Salpingotomy and salpingostomy,,,
66.01,Salpingotomy,,,54
66.02,Salpingostomy,,,196
66.1,Diagnostic procedures on fallopian tubes,,,
66.11,Biopsy of fallopian tube,,,10
66.19,Other diagnostic procedures on fallopian tubes,,,9
66.2,Bilateral endoscopic destruction or occlusion of fallopian tubes,,,
66.21,Bilateral endoscopic ligation and crushing of fallopian tubes,,,8
66.22,Bilateral endoscopic ligation and division of fallopian tubes,,,219
66.29,Other bilateral endoscopic destruction or occlusion of fallopian tubes,,,2587
66.3,Other bilateral destruction or occlusion of fallopian tubes,,,
66.31,Other bilateral ligation and crushing of fallopian tubes,,,12
66.32,Other bilateral ligation and division of fallopian tubes,,,6996
66.39,Other bilateral destruction or occlusion of fallopian tubes,,,2381
66.4,Total unilateral salpingectomy,,,580
66.5,Total bilateral salpingectomy,,,
66.51,Removal of both fallopian tubes at same operative episode,,,1183
66.52,Removal of remaining fallopian tube,,,61
66.6,Other salpingectomy,,,
66.61,Excision or destruction of lesion of fallopian tube,,,361
66.62,Salpingectomy with removal of tubal pregnancy,,,583
66.63,"Bilateral partial salpingectomy, not otherwise specified",,,21
66.69,Other partial salpingectomy,,,175
66.7,Repair of fallopian tube,,,
66.71,Simple suture of fallopian tube,,,10
66.72,Salpingo-oophorostomy,,,
66.73,Salpingo-salpingostomy,,,58
66.74,Salpingo-uterostomy,,,
66.79,Other repair of fallopian tube,,,96
66.8,Insufflation of fallopian tube,,,410
66.9,Other operations on fallopian tubes,,,
66.91,Aspiration of fallopian tube,,,38
66.92,Unilateral destruction or occlusion of fallopian tube,,,141
66.93,Implantation or replacement of prosthesis of fallopian tube,,,
66.94,Removal of prosthesis of fallopian tube,,,17
66.95,Insufflation of therapeutic agent into fallopian tubes,,,199
66.96,Dilation of fallopian tube,,,4
66.97,Burying of fimbriae in uterine wall,,,
66.99,Other operations on fallopian tubes,,,1
660,Obstructed labor,,,1207
660.0,Obstruction caused by malposition of fetus at onset of labor,,,
660.00,"Obstruction caused by malposition of fetus at onset of labor, unspecified as to episode of care or not applicable",,,7
660.01,"Obstruction caused by malposition of fetus at onset of labor, delivered, with or without mention of antepartum condition",,,3046
660.03,"Obstruction caused by malposition of fetus at onset of labor, antepartum condition or complication",,,5
660.1,Obstruction by bony pelvis during labor,,,
660.10,"Obstruction by bony pelvis during labor, unspecified as to episode of care or not applicable",,,3
660.11,"Obstruction by bony pelvis during labor, delivered, with or without mention of antepartum condition",,,1815
660.13,"Obstruction by bony pelvis during labor, antepartum condition or complication",,,8
660.2,Obstruction by abnormal pelvic soft tissues during labor,,,2
660.20,"Obstruction by abnormal pelvic soft tissues during labor, unspecified as to episode of care or not applicable",,,2
660.21,"Obstruction by abnormal pelvic soft tissues during labor, delivered, with or without mention of antepartum condition",,,236
660.23,"Obstruction by abnormal pelvic soft tissues during labor, antepartum condition or complication",,,2
660.3,Deep transverse arrest and persistent occipitoposterior position during labor and delivery,,,1
660.30,"Deep transverse arrest and persistent occipitoposterior position, unspecified as to episode of care or not applicable",,,3
660.31,"Deep transverse arrest and persistent occipitoposterior position, delivered, with or without mention of antepartum condition",,,1899
660.33,"Deep transverse arrest and persistent occipitoposterior position, antepartum condition or complication",,,45
660.4,Shoulder (girdle) dystocia during labor and delivery,,,3
660.40,"Shoulder (girdle) dystocia, unspecified as to episode of care or not applicable",,,21
660.41,"Shoulder (girdle) dystocia, delivered, with or without mention of antepartum condition",,,4554
660.43,"Shoulder (girdle) dystocia, antepartum condition or complication",,,9
660.5,Locked twins,,,
660.50,"Locked twins, unspecified as to episode of care or not applicable",,,
660.51,"Locked twins, delivered, with or without mention of antepartum condition",,,1
660.53,"Locked twins, antepartum condition or complication",,,
660.6,"Failed trial of labor, unspecified",,,
660.60,"Unspecified failed trial of labor, unspecified as to episode of care or not applicable",,,14
660.61,"Unspecified failed trial of labor, delivered, with or without mention of antepartum condition",,,1851
660.63,"Unspecified failed trial of labor, antepartum condition or complication",,,52
660.7,"Failed forceps or vacuum extractor, unspecified",,,
660.70,"Failed forceps or vacuum extractor, unspecified, unspecified as to episode of care or not applicable",,,
660.71,"Failed forceps or vacuum extractor, unspecified, delivered, with or without mention of antepartum condition",,,765
660.73,"Failed forceps or vacuum extractor, unspecified, antepartum condition or complication",,,10
660.8,Other causes of obstructed labor,,,
660.80,"Other causes of obstructed labor, unspecified as to episode of care or not applicable",,,
660.81,"Other causes of obstructed labor, delivered, with or without mention of antepartum condition",,,152
660.83,"Other causes of obstructed labor, antepartum condition or complication",,,3
660.9,Unspecified obstructed labor,,,
660.90,"Unspecified obstructed labor, unspecified as to episode of care or not applicable",,,6
660.91,"Unspecified obstructed labor, delivered, with or without mention of antepartum condition",,,231
660.93,"Unspecified obstructed labor, antepartum condition or complication",,,9
661,Abnormality of forces of labor,,,15
661.0,Primary uterine inertia,,,4
661.00,"Primary uterine inertia, unspecified as to episode of care or not applicable",,,13
661.01,"Primary uterine inertia, delivered, with or without mention of antepartum condition",,,9107
661.03,"Primary uterine inertia, antepartum condition or complication",,,440
661.1,Secondary uterine inertia,,,3
661.10,"Secondary uterine inertia, unspecified as to episode of care or not applicable",,,3
661.11,"Secondary uterine inertia, delivered, with or without mention of antepartum condition",,,9421
661.13,"Secondary uterine inertia, antepartum condition or complication",,,505
661.2,Other and unspecified uterine inertia,,,1
661.20,"Other and unspecified uterine inertia, unspecified as to episode of care or not applicable",,,1
661.21,"Other and unspecified uterine inertia, delivered, with or without mention of antepartum condition",,,1869
661.23,"Other and unspecified uterine inertia, antepartum condition or complication",,,31
661.3,Precipitate labor,,,
661.30,"Precipitate labor, unspecified as to episode of care or not applicable",,,1
661.31,"Precipitate labor, delivered, with or without mention of antepartum condition",,,3275
661.33,"Precipitate labor, antepartum condition or complication",,,5
661.4,"Hypertonic, incoordinate, or prolonged uterine contractions",,,
661.40,"Hypertonic, incoordinate, or prolonged uterine contractions, unspecified as to episode of care or not applicable",,,6
661.41,"Hypertonic, incoordinate, or prolonged uterine contractions, delivered, with or without mention of antepartum condition",,,150
661.43,"Hypertonic, incoordinate, or prolonged uterine contractions, antepartum condition or complication",,,106
661.9,Unspecified abnormality of labor,,,8
